precision: 0.505, best precision: 0.505
precision: 0.511, best precision: 0.511
precision: 0.509, best precision: 0.511
precision: 0.508, best precision: 0.511
precision: 0.511, best precision: 0.511
precision: 0.515, best precision: 0.515
precision: 0.522, best precision: 0.522
precision: 0.526, best precision: 0.526
precision: 0.533, best precision: 0.533
precision: 0.535, best precision: 0.535
precision: 0.538, best precision: 0.538
precision: 0.538, best precision: 0.538
precision: 0.540, best precision: 0.540
precision: 0.542, best precision: 0.542
precision: 0.546, best precision: 0.546
precision: 0.549, best precision: 0.549
precision: 0.552, best precision: 0.552
precision: 0.553, best precision: 0.553
precision: 0.555, best precision: 0.555
precision: 0.557, best precision: 0.557
precision: 0.559, best precision: 0.559
precision: 0.561, best precision: 0.561
precision: 0.563, best precision: 0.563
precision: 0.566, best precision: 0.566
precision: 0.568, best precision: 0.568
precision: 0.569, best precision: 0.569
precision: 0.571, best precision: 0.571
precision: 0.573, best precision: 0.573
precision: 0.574, best precision: 0.574
precision: 0.575, best precision: 0.575
precision: 0.577, best precision: 0.577
precision: 0.579, best precision: 0.579
precision: 0.582, best precision: 0.582
precision: 0.582, best precision: 0.582
precision: 0.583, best precision: 0.583
precision: 0.585, best precision: 0.585
precision: 0.586, best precision: 0.586
precision: 0.587, best precision: 0.587
precision: 0.589, best precision: 0.589
precision: 0.590, best precision: 0.590
precision: 0.591, best precision: 0.591
precision: 0.591, best precision: 0.591
precision: 0.592, best precision: 0.592
precision: 0.593, best precision: 0.593
precision: 0.594, best precision: 0.594
precision: 0.595, best precision: 0.595
precision: 0.596, best precision: 0.596
precision: 0.597, best precision: 0.597
precision: 0.598, best precision: 0.598
precision: 0.598, best precision: 0.598
precision: 0.599, best precision: 0.599
precision: 0.600, best precision: 0.600
precision: 0.601, best precision: 0.601
precision: 0.602, best precision: 0.602
precision: 0.603, best precision: 0.603
precision: 0.604, best precision: 0.604
precision: 0.604, best precision: 0.604
precision: 0.605, best precision: 0.605
precision: 0.605, best precision: 0.605
precision: 0.606, best precision: 0.606
precision: 0.607, best precision: 0.607
precision: 0.607, best precision: 0.607
precision: 0.608, best precision: 0.608
precision: 0.608, best precision: 0.608
precision: 0.609, best precision: 0.609
precision: 0.609, best precision: 0.609
precision: 0.610, best precision: 0.610
precision: 0.610, best precision: 0.610
precision: 0.611, best precision: 0.611
precision: 0.611, best precision: 0.611
precision: 0.612, best precision: 0.612
precision: 0.612, best precision: 0.612
precision: 0.613, best precision: 0.613
precision: 0.613, best precision: 0.613
precision: 0.614, best precision: 0.614
precision: 0.614, best precision: 0.614
precision: 0.614, best precision: 0.614
precision: 0.615, best precision: 0.615
precision: 0.616, best precision: 0.616
precision: 0.616, best precision: 0.616
precision: 0.616, best precision: 0.616
precision: 0.616, best precision: 0.616
precision: 0.617, best precision: 0.617
precision: 0.617, best precision: 0.617
precision: 0.618, best precision: 0.618
precision: 0.618, best precision: 0.618
precision: 0.619, best precision: 0.619
precision: 0.619, best precision: 0.619
precision: 0.619, best precision: 0.619
precision: 0.619, best precision: 0.619
precision: 0.620, best precision: 0.620
precision: 0.620, best precision: 0.620
precision: 0.620, best precision: 0.620
precision: 0.621, best precision: 0.621
precision: 0.621, best precision: 0.621
precision: 0.622, best precision: 0.622
precision: 0.622, best precision: 0.622
precision: 0.622, best precision: 0.622
precision: 0.622, best precision: 0.622
precision: 0.622, best precision: 0.622
precision: 0.623, best precision: 0.623
precision: 0.623, best precision: 0.623
precision: 0.624, best precision: 0.624
precision: 0.624, best precision: 0.624
precision: 0.624, best precision: 0.624
precision: 0.625, best precision: 0.625
precision: 0.625, best precision: 0.625
precision: 0.625, best precision: 0.625
precision: 0.625, best precision: 0.625
precision: 0.626, best precision: 0.626
precision: 0.626, best precision: 0.626
precision: 0.626, best precision: 0.626
precision: 0.626, best precision: 0.626
precision: 0.627, best precision: 0.627
precision: 0.627, best precision: 0.627
precision: 0.627, best precision: 0.627
precision: 0.627, best precision: 0.627
precision: 0.628, best precision: 0.628
precision: 0.628, best precision: 0.628
precision: 0.628, best precision: 0.628
precision: 0.628, best precision: 0.628
precision: 0.629, best precision: 0.629
precision: 0.629, best precision: 0.629
precision: 0.629, best precision: 0.629
precision: 0.629, best precision: 0.629
precision: 0.630, best precision: 0.630
precision: 0.630, best precision: 0.630
precision: 0.630, best precision: 0.630
precision: 0.630, best precision: 0.630
precision: 0.630, best precision: 0.630
precision: 0.631, best precision: 0.631
precision: 0.631, best precision: 0.631
precision: 0.631, best precision: 0.631
precision: 0.631, best precision: 0.631
precision: 0.632, best precision: 0.632
precision: 0.632, best precision: 0.632
precision: 0.632, best precision: 0.632
precision: 0.632, best precision: 0.632
precision: 0.632, best precision: 0.632
precision: 0.632, best precision: 0.632
precision: 0.633, best precision: 0.633
precision: 0.633, best precision: 0.633
precision: 0.633, best precision: 0.633
precision: 0.633, best precision: 0.633
precision: 0.633, best precision: 0.633
precision: 0.634, best precision: 0.634
precision: 0.634, best precision: 0.634
precision: 0.634, best precision: 0.634
precision: 0.634, best precision: 0.634
precision: 0.635, best precision: 0.635
precision: 0.635, best precision: 0.635
precision: 0.635, best precision: 0.635
precision: 0.635, best precision: 0.635
precision: 0.635, best precision: 0.635
precision: 0.635, best precision: 0.635
precision: 0.636, best precision: 0.636
precision: 0.636, best precision: 0.636
precision: 0.636, best precision: 0.636
precision: 0.636, best precision: 0.636
precision: 0.636, best precision: 0.636
precision: 0.636, best precision: 0.636
precision: 0.637, best precision: 0.637
precision: 0.637, best precision: 0.637
precision: 0.637, best precision: 0.637
precision: 0.637, best precision: 0.637
precision: 0.637, best precision: 0.637
precision: 0.637, best precision: 0.637
precision: 0.638, best precision: 0.638
precision: 0.638, best precision: 0.638
precision: 0.638, best precision: 0.638
precision: 0.638, best precision: 0.638
precision: 0.638, best precision: 0.638
precision: 0.638, best precision: 0.638
precision: 0.638, best precision: 0.638
precision: 0.639, best precision: 0.639
precision: 0.639, best precision: 0.639
precision: 0.639, best precision: 0.639
precision: 0.639, best precision: 0.639
precision: 0.639, best precision: 0.639
precision: 0.640, best precision: 0.640
precision: 0.640, best precision: 0.640
precision: 0.640, best precision: 0.640
precision: 0.640, best precision: 0.640
precision: 0.640, best precision: 0.640
precision: 0.640, best precision: 0.640
precision: 0.640, best precision: 0.640
precision: 0.641, best precision: 0.641
precision: 0.641, best precision: 0.641
precision: 0.641, best precision: 0.641
precision: 0.641, best precision: 0.641
precision: 0.641, best precision: 0.641
precision: 0.641, best precision: 0.641
precision: 0.641, best precision: 0.641
precision: 0.642, best precision: 0.642
